Pin [Pa]	ΔP local [Pa]	ΔP dist [Pa]	ΔP total [Pa]	Pout [Pa]	u [m/s]
19866.52607	3169.8952	544.1113272	3714.006527	3060.64179	2.11
19927.43603	3200.0128	548.6321161	3748.644916	3086.91336	2.12
19988.63419	3230.2728	553.1689266	3783.441727	3113.31471	2.13
20050.12053	3260.6752	557.7217401	3818.39694	3139.84584	2.14
20111.89504	3291.22	562.2905377	3853.510538	3166.50675	2.15
20173.95769	3321.9072	566.8753008	3888.782501	3193.29744	2.16
20236.30847	3352.7368	571.4760109	3924.212811	3220.21791	2.17
20298.94736	3383.7088	576.0926497	3959.80145	3247.26816	2.18
20361.87434	3414.8232	580.7251987	3995.548399	3274.44819	2.19
20425.08939	3446.08	585.37364	4031.45364	3301.758	2.20
20488.5925	3477.4792	590.0379552	4067.517155	3329.19759	2.21
20552.38364	3509.0208	594.7181265	4103.738926	3356.76696	2.22
20616.4628	3540.7048	599.4141359	4140.118936	3384.46611	2.23
20680.82996	3572.5312	604.1259657	4176.657166	3412.29504	2.24
20745.4851	3604.5	608.8535983	4213.353598	3440.25375	2.25
20810.42821	3636.6112	613.5970159	4250.208216	3468.34224	2.26
20875.65926	3668.8648	618.3562011	4287.221001	3496.56051	2.27
20941.17825	3701.2608	623.1311365	4324.391937	3524.90856	2.28
21006.98514	3733.7992	627.9218049	4361.721005	3553.38639	2.29
21073.07994	3766.48	632.728189	4399.208189	3581.994	2.30
21139.46261	3799.3032	637.5502717	4436.853472	3610.73139	2.31
21206.13315	3832.2688	642.3880359	4474.656836	3639.59856	2.32
21273.09152	3865.3768	647.2414648	4512.618265	3668.59551	2.33
21340.33773	3898.6272	652.1105416	4550.737742	3697.72224	2.34
21407.87175	3932.02	656.9952494	4589.015249	3726.97875	2.35
21475.69356	3965.5552	661.8955717	4627.450772	3756.36504	2.36
21543.80315	3999.2328	666.8114918	4666.044292	3785.88111	2.37
21612.2005	4033.0528	671.7429933	4704.795793	3815.52696	2.38
21680.8856	4067.0152	676.6900598	4743.70526	3845.30259	2.39
21749.85842	4101.12	681.652675	4782.772675	3875.208	2.40
21819.11896	4135.3672	686.6308226	4821.998023	3905.24319	2.41
21888.6672	4169.7568	691.6244865	4861.381287	3935.40816	2.42
21958.50311	4204.2888	696.6336507	4900.922451	3965.70291	2.43
22028.62669	4238.9632	701.6582992	4940.621499	3996.12744	2.44
22099.03792	4273.78	706.6984161	4980.478416	4026.68175	2.45
22169.73678	4308.7392	711.7539856	5020.493186	4057.36584	2.46
22240.72325	4343.8408	716.824992	5060.665792	4088.17971	2.47
22311.99733	4379.0848	721.9114196	5100.99622	4119.12336	2.48
22383.55899	4414.4712	727.0132528	5141.484453	4150.19679	2.49
22455.40823	4450	732.1304762	5182.130476	4181.4	2.50
22527.54501	4485.6712	737.2630744	5222.934274	4212.73299	2.51
22599.96934	4521.4848	742.4110319	5263.895832	4244.19576	2.52
22672.68119	4557.4408	747.5743336	5305.015134	4275.78831	2.53
22745.68055	4593.5392	752.7529643	5346.292164	4307.51064	2.54
22818.96741	4629.78	757.9469088	5387.726909	4339.36275	2.55
22892.54174	4666.1632	763.1561521	5429.319352	4371.34464	2.56
22966.40354	4702.6888	768.3806793	5471.069479	4403.45631	2.57
23040.55279	4739.3568	773.6204755	5512.977276	4435.69776	2.58
23114.98947	4776.1672	778.8755258	5555.042726	4468.06899	2.59
23189.71357	4813.12	784.1458156	5597.265816	4500.57	2.60
23264.72507	4850.2152	789.43133	5639.64653	4533.20079	2.61
23340.02396	4887.4528	794.7320546	5682.184855	4565.96136	2.62
23415.61023	4924.8328	800.0479748	5724.880775	4598.85171	2.63
23491.48387	4962.3552	805.3790761	5767.734276	4631.87184	2.64
23567.64484	5000.02	810.7253441	5810.745344	4665.02175	2.65
23644.09315	5037.8272	816.0867645	5853.913965	4698.30144	2.66
23720.82878	5075.7768	821.4633231	5897.240123	4731.71091	2.67
23797.85172	5113.8688	826.8550056	5940.723806	4765.25016	2.68
23875.16194	5152.1032	832.2617979	5984.364998	4798.91919	2.69
23952.75944	5190.48	837.683686	6028.163686	4832.718	2.70
24030.6442	5228.9992	843.1206559	6072.119856	4866.64659	2.71
24108.8162	5267.6608	848.5726936	6116.233494	4900.70496	2.72
24187.27545	5306.4648	854.0397852	6160.504585	4934.89311	2.73
24266.02191	5345.4112	859.521917	6204.933117	4969.21104	2.74
24345.05558	5384.5	865.0190752	6249.519075	5003.65875	2.75
24424.37644	5423.7312	870.5312461	6294.262446	5038.23624	2.76
24503.98448	5463.1048	876.0584162	6339.163216	5072.94351	2.77
24583.87968	5502.6208	881.6005718	6384.221372	5107.78056	2.78
24664.06204	5542.2792	887.1576995	6429.436899	5142.74739	2.79
24744.53154	5582.08	892.7297858	6474.809786	5177.844	2.80
24825.28816	5622.0232	898.3168173	6520.340017	5213.07039	2.81
24906.33189	5662.1088	903.9187808	6566.027581	5248.42656	2.82
24987.66272	5702.3368	909.535663	6611.872463	5283.91251	2.83
25069.28064	5742.7072	915.1674507	6657.874651	5319.52824	2.84
25151.18563	5783.22	920.8141308	6704.034131	5355.27375	2.85
25233.37768	5823.8752	926.4756901	6750.35089	5391.14904	2.86
25315.85678	5864.6728	932.1521157	6796.824916	5427.15411	2.87
25398.6229	5905.6128	937.8433945	6843.456194	5463.28896	2.88
25481.67605	5946.6952	943.5495137	6890.244714	5499.55359	2.89
25565.01621	5987.92	949.2704605	6937.19046	5535.948	2.90
25648.64336	6029.2872	955.0062219	6984.293422	5572.47219	2.91
25732.5575	6070.7968	960.7567853	7031.553585	5609.12616	2.92
25816.7586	6112.4488	966.5221381	7078.970938	5645.90991	2.93
25901.24666	6154.2432	972.3022674	7126.545467	5682.82344	2.94
25986.02166	6196.18	978.0971609	7174.277161	5719.86675	2.95
26071.0836	6238.2592	983.9068059	7222.166006	5757.03984	2.96
26156.43245	6280.4808	989.7311899	7270.21199	5794.34271	2.97
26242.06821	6322.8448	995.5703006	7318.415101	5831.77536	2.98
26327.99087	6365.3512	1001.424126	7366.775326	5869.33779	2.99
26414.2004	6408	1007.292652	7415.292652	5907.03	3.00
